Address,subdiv.x,treat,eoc_diff,sold,fname,htype,hstatus,harea,lp,address,taxloc,city,county,high,total_hla,unheated_sqft,add_sqft,beds,baths,main_hla,main_un,upper_hla,upper_un,lower_hla,lower_un,bsmt_hla,bsmt_un,third_hla,third_un,new_construct,year_built,elem,middle,high__1,dimension,acres,tax_value,zoning,htype__1,style,exterior,parking,driveway,fireplace,fireplace_loc,floor,windows,water,hvac,heater,sp,sold__1,sold2,sold3,subdiv
416QUEENSRD14,NA,1,32.3,2006-06-01T00:00:00Z,listings_data/585225.html,Condo/Townhouse,Sold,41395,269900,416 Queens RD 14,Mecklenburg,"Charlotte,NC28207",Mecklenburg,NA,1012,180,NA,2,41306,460,150,552,30,0,0,0,0,NA,NA,No,1997,NA,NA,NA,NA,0,184900,R43MF,2 Story,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Parking Space, Garage Door Opener, Other, Parking Gar",Concrete,Yes,"Gas Logs, Living Room","Ceramic Tile, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,2.60E+05,2006-06-01T00:00:00Z,6012006,2013-06-06T00:00:00Z,Myers Park
416QUEENSRD14,NA,1,32.3,2007-09-12T00:00:00Z,listings_data/697635.html,Condo/Townhouse,Sold,41395,2.80E+05,416 Queens RD 14,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,1002,0,0,2,41306,476,0,526,0,0,0,0,0,0,0,No,1997,Eastover,Alexander Graham,Myers Park,NA,0,184900,R43mf,2 Story,Transitional,"Brick Veneer Full, Synthetic Stucco","1 Parking Space, Garage Door Opener, Parking Gar",Concrete,Yes,"Gas Logs, Great Room","Ceramic Tile, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,2.70E+05,2007-09-12T00:00:00Z,9122007,2013-09-07T00:00:00Z,NA
416QUEENSRD3,None,1,32.3,2002-07-15T00:00:00Z,listings_data/159296.html,Condo/Townhouse,Sold,41395,179900,416 QUEENS RD 3,Charlotte,"CHARLOTTE,28207-",Mecklenburg,West Charlotte,1012,180,NA,2,41306,460,150,552,30,0,0,0,0,NA,NA,No,1997,Eastover,Alexander,West Charlotte,NA,0,141500,R43MF,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco",Parking Gar,NA,Yes,Living Room,"Wood, Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,168600,2002-07-15T00:00:00Z,7152002,2013-07-02T00:00:00Z,NA
416QUEENSRD3,NA,1,32.3,2008-05-16T00:00:00Z,listings_data/763395.html,Condo/Townhouse,Sold,41395,249900,416 Queens RD 3,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,1012,0,NA,2,41306,460,0,552,0,0,0,0,0,0,0,No,1997,NA,NA,NA,NA,0,163100,R43mf,2 Story,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Parking Space, Garage Door Opener, Parking Gar",Concrete,Yes,Living Room,"Vinyl / Linoleum, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,247500,2008-05-16T00:00:00Z,5162008,2013-05-08T00:00:00Z,None
416QUEENSRD4,NA,1,32.3,2003-02-18T00:00:00Z,listings_data/148183.html,Condo/Townhouse,Sold,41395,1.72E+05,416 QUEENS RD 4,Charlotte,"CHARLOTTE,28207-1488",Mecklenburg,Unknown,1012,0,NA,2,41306,0,0,0,0,0,0,0,0,NA,NA,No,1997,Unknown,Unknown,Unknown,NA,0,139870,R43MF,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco",Parking Gar,NA,Yes,Living Room,"Wood, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.69E+05,2003-02-18T00:00:00Z,2182003,2013-02-03T00:00:00Z,NA
416QUEENSRD4,Myers Park,1,32.3,2003-02-18T00:00:00Z,listings_data/148183.html,Condo/Townhouse,Sold,41395,1.72E+05,416 QUEENS RD 4,Charlotte,"CHARLOTTE,28207-1488",Mecklenburg,Unknown,1012,0,NA,2,41306,0,0,0,0,0,0,0,0,NA,NA,No,1997,Unknown,Unknown,Unknown,NA,0,139870,R43MF,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco",Parking Gar,NA,Yes,Living Room,"Wood, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer","Central Air, Heat Pump - AC",Electric,1.69E+05,2003-02-18T00:00:00Z,2182003,2013-02-03T00:00:00Z,NA
416QUEENSRD4,NA,1,32.3,2005-04-28T00:00:00Z,listings_data/504163.html,Condo/Townhouse,Sold,41395,2.00E+05,416 Queens RD 4,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,1012,0,NA,2,41306,460,0,460,0,0,0,0,0,NA,NA,No,1997,NA,NA,NA,NA,0,163100,0,2 Story,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Parking Space, Other, Parking Gar",NA,Yes,"Gas Logs, Great Room","Wall-to wall Carpet, Wood",NA,"City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,202500,2005-04-28T00:00:00Z,4282005,2013-04-05T00:00:00Z,NA
416QUEENSRD4,NA,1,32.3,2007-04-30T00:00:00Z,listings_data/659212.html,Condo/Townhouse,Sold,41395,2.58E+05,416 Queens RD 4,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,1012,0,NA,2,41306,0,0,0,0,0,0,0,0,0,0,No,1997,NA,NA,NA,NA,0,163100,R43mf,Mid-Rise,Transitional,"Brick Veneer Partial, Synthetic Stucco","1 Parking Space, Other, Parking Gar, Street / Lot",NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Wood",NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",21005,2.55E+05,2007-04-30T00:00:00Z,4302007,2013-04-07T00:00:00Z,Myers Park
430QUEENSRD212,Myers Park,0,0,2001-06-29T00:00:00Z,listings_data/101241.html,Condo/Townhouse,Sold,41395,118500,430 QUEENS RD 212,Charlotte,"CHARLOTTE,28207",Mecklenburg,Myers Park,900,0,110,2,41306,900,0,0,0,0,0,0,0,NA,NA,No,1985,Eastover,Alexander Graham,Myers Park,NA,0,83410,R22MF,Mid-Rise,Transitional,"Brick Veneer Partial, Wood, Shingle",Street / Lot,NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Vinyl / Linoleum",NA,"City Water, City Sewer",Heat Pump - AC,Electric,115500,2001-06-29T00:00:00Z,6292001,2013-06-01T00:00:00Z,NA
430QUEENSRD212,NA,0,0,2006-09-27T00:00:00Z,listings_data/618661.html,Condo/Townhouse,Sold,41395,1.47E+05,430 Queens RD 212,Mecklenburg,"Charlotte,NC28207",Mecklenburg,NA,915,0,0,2,41306,915,0,0,0,0,0,0,0,NA,NA,No,1985,NA,NA,NA,NA,0,119700,R22mf,Mid-Rise,NA,Wood,2 Parking Spaces,Asphalt,Yes,Living Room,"Ceramic Tile, Vinyl / Linoleum, Wall-to wall Carpet",NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,1.43E+05,2006-09-27T00:00:00Z,9272006,2013-09-06T00:00:00Z,Myers Park
